APÓLICE;NUMERO_PI;Municipio;UF;LATITUDE;LONGITUDE;CULTURA;STATUS;NOME;ÁREA GARANTIDA (ha)
5428569196;1141248436;CACIMBAS;PB;-7,20721;-37,0604;SOJA;ATIVA;BETO DO TRIGO;291,99
6037057894;9878578805;URÂNIA;SP;-20,2455;-50,6455;MAÇÃ;ATIVA;JUJU DO TOMATE;213,37
5912277256;6981544568;THEOBROMA;RO;-10,2483;-62,3538;BATATA;ATIVA;LURDINHA DO CAFÉ;364,74
2098873601;5297301401;TEIXEIRA SOARES;PR;-25,3701;-50,4571;BATATA;ATIVA;BETO DA CEBOLA;366,34
3101570577;1307314131;PIÇARRA;PA;-6,43778;-48,8716;MILHO;ATIVA;MARIAZINHA DA CEBOLA;278,17
2224969979;3765510377;MIRANTE DA SERRA;RO;-11,029;-62,6696;TRIGO;ATIVA;MANÉ SOJINHA;375,71
3189820558;7256011592;BALNEÁRIO BARRA DO SUL;SC;-26,4597;-48,6123;SOJA;ATIVA;MARIAZINHA DO ARROZ;389,68
4218867116;9077724410;TURIÚBA;SP;-20,9428;-50,1135;SOJA;ATIVA;LURDINHA DO ALGODÃO;320,94
6065163347;3517373902;SANTA LUZIA DO PARÁ;PA;-1,52147;-46,9008;BATATA;ATIVA;CHIQUINHA DO CAFÉ;253,9
1931994766;2814568825;OLÍMPIO NORONHA;MG;-22,0685;-45,2657;BATATA;ATIVA;TONHÃO DO TOMATE;353,13
1959359757;8263009817;MORADA NOVA DE MINAS;MG;-18,5998;-45,3584;TRIGO;ATIVA;TONHÃO DO ARROZ;366,67
7952003150;4385425647;MARACÁS;BA;-13,4355;-40,4323;SOJA;ATIVA;CHIQUINHA DO MILHO;366,92
8794400439;1812714348;ALTA FLORESTA;MT;-9,86674;-56,0867;TRIGO;ATIVA;CHIQUINHA DO CAFÉ;411,02
8046242724;4867285465;ERNESTINA;RS;-28,4977;-52,5836;MILHO;ATIVA;JUJU DO ALGODÃO;53,89
4875019733;3899659583;BREJO DA MADRE DE DEUS;PE;-8,14933;-36,3741;BATATA;ATIVA;TONHÃO DO MILHO;231,71
1871363607;7039111006;ITAPORANGA;SP;-23,7043;-49,4819;BATATA;ATIVA;BETO DO ALGODÃO;194,7
3763212620;2153130226;ITIRAPUÃ;SP;-20,6416;-47,2194;SOJA;ATIVA;ZÉ DO CAFÉ;379,43
6553692471;6066857920;TUCURUÍ;PA;-3,7657;-49,6773;MILHO;ATIVA;DONA LÚCIA SOJINHA;470,32
1918509594;2098336393;SILVEIRAS;SP;-22,6638;-44,8522;TRIGO;ATIVA;JUJU DO ARROZ;123,6
6734144267;3535653651;CATARINA;CE;-6,12291;-39,8736;BATATA;ATIVA;DONA LÚCIA DO ARROZ;417,07
1859024333;6731416174;SANTO ANTÔNIO DO ITAMBÉ;MG;-18,4609;-43,3006;TRIGO;ATIVA;LURDINHA DA BATATA;239,15
5499177805;6286777041;NOVA UNIÃO;RO;-10,9068;-62,5564;SOJA;ATIVA;MANÉ DA CEBOLA;289,58
6897924041;9682507519;REDENTORA;RS;-27,664;-53,6407;MAÇÃ;ATIVA;MANÉ DO TRIGO;229,75
3663994797;8595364629;SÃO MIGUEL DO GUAPORÉ;RO;-11,6953;-62,7192;BATATA;ATIVA;ZÉ SOJINHA;152,48
1491001338;6835510475;MANTENA;MG;-18,7761;-40,9874;MAÇÃ;ATIVA;DONA LÚCIA DA SOJA;470,41
8721550991;4848724562;BALSAS;MA;-7,53214;-46,0372;SOJA;ATIVA;ROSINHA SOJINHA;143,95
3678386680;7175246752;CAPIXABA;AC;-10,566;-67,686;MILHO;ATIVA;TONHÃO DA CEBOLA;490,92
1075729500;4334328902;JAÚ;SP;-22,2936;-48,5592;TRIGO;ATIVA;DONA LÚCIA DA CEBOLA;324,44
9887394790;9776165875;GURINHÉM;PB;-7,1233;-35,4222;MILHO;ATIVA;TONHÃO DO ARROZ;161,09
4574489339;9562253011;LASSANCE;MG;-17,887;-44,5735;TRIGO;ATIVA;MANÉ DO ARROZ;15,56
6659621301;6674331750;CAMPO LARGO DO PIAUÍ;PI;-3,80441;-42,64;MAÇÃ;ATIVA;BETO DA BATATA;451,33
1426905974;2043021382;FLORESTA DO ARAGUAIA;PA;-7,55335;-49,7125;MILHO;ATIVA;MANÉ DO TRIGO;409,8
8462177782;5662825622;AMARAJI;PE;-8,37691;-35,4501;TRIGO;ATIVA;JOÃOZINHO DA BATATA;279,93
7887185973;5135180667;LAMBARI;MG;-21,9671;-45,3498;BATATA;ATIVA;ZÉ DO MILHO;173,28
8410368187;7317693568;MATIAS OLÍMPIO;PI;-3,71492;-42,5507;TRIGO;ATIVA;JUJU DO ALGODÃO;412,77
1816499729;6275182669;SÃO GABRIEL;RS;-30,3337;-54,3217;SOJA;ATIVA;CHIQUINHA DA BATATA;110,28
4941597866;6452782020;GENERAL CARNEIRO;MT;-15,7094;-52,7574;MILHO;ATIVA;DONA LÚCIA DA SOJA;237,86
7386407491;9977085415;CHUÍ;RS;-33,6866;-53,4594;TRIGO;ATIVA;LURDINHA DA CEBOLA;257,55
7327528230;1134497438;DAMOLÂNDIA;GO;-16,2544;-49,3631;SOJA;ATIVA;JUJU DA CEBOLA;426,7
2626426118;8253716449;MUCAJAÍ;RR;2,43998;-60,9096;TRIGO;ATIVA;ZÉ DA BATATA;380,77
5111119729;9056530726;PANAMBI;RS;-28,2833;-53,5023;TRIGO;ATIVA;ROSINHA SOJINHA;376,89
9296866253;8619761180;POÇO DANTAS;PB;-6,39876;-38,4909;MILHO;ATIVA;JUJU DO MILHO;19,6
2438525236;8491034423;BOA VISTA DO BURICÁ;RS;-27,6693;-54,1082;BATATA;ATIVA;SEU PEDRO DO TRIGO;471,33
1967851627;1810351983;MANDAGUARI;PR;-23,5446;-51,671;BATATA;ATIVA;ROSINHA DO TRIGO;425,56
